text,label,text_seg
Thằng này ko dc,1,Thằng này ko dc
"Thua rồi xinloi à, khon nạn vừa thôi má ơi",1,"Thua rồi xinloi à , khon nạn vừa thôi má ơi"
Ok nhá,0,Ok nhá
xa hội bgio phuc tap qua con nguoi với nhau sao k còn tinh nghia gi nua het .,0,xa hội bgio phuc tap qua con nguoi với nhau sao k còn tinh_nghia gi_nua het .
Đụ má mặt nhìn như đàn ông,2,Đụ má mặt nhìn như đàn_ông
Trọng tài nguu quá,1,Trọng_tài nguu quá
Nó còn biết nó chưa đủ 16t nên nó ngông như thế thì phải trị cho nó ra khoai ra ngô chứ bỏ qua vì chưa đủ tuổi thì thật sự thất vọng về pháp luật Việt Nam,0,Nó còn biết nó chưa đủ 16 t nên nó ngông như thế thì phải trị cho nó ra khoai ra ngô chứ bỏ_qua vì chưa đủ tuổi thì thật_sự thất_vọng về pháp_luật Việt_Nam
Bọn chủ yếu lạc hướng ngta để trộm à,0,Bọn chủ_yếu lạc hướng ngta để trộm à
đần,1,đần
đunga rồi anh ba chíp chíp chíp cũa em,0,đunga rồi anh ba chíp chíp chíp cũa em
lần sau đừng có nc kiểu ngu như vậy tao cười chết đó 'Nhi' tag lắm vào tưởng cái gì nói thì ngu trl cũng ngu,2,lần sau đừng có nc kiểu ngu như_vậy tao cười chết đó ' Nhi ' tag lắm vào tưởng cái gì nói thì ngu trl cũng ngu
Mất đi một đứa con như đứt một khúc ruột vậy. Thương quá,0,Mất đi một đứa con như đứt một khúc ruột vậy . Thương quá
Cả mả cụ tổ họ hàng hang hốc nhà mày.,2,Cả mả cụ tổ họ_hàng hang_hốc nhà mày .
Tao đéo biết,1,Tao đéo biết
"show ra đi , đi cái jg 2 game out cả 2 . Rank thì kẹp lóc ngóc bk4 duo lb2 =)) game sau t mà đi top 2 m còn nát nữa chứ ở đó gank t , game đầu t k để ý m có xem stream đấy . Chứ k cỡ như m lên t cân 2 nha .",0,"show ra đi , đi cái jg 2 game out cả 2 . Rank thì kẹp_lóc ngóc bk4 duo lb2 =))_game sau t mà đi top 2 m còn nát nữa chứ ở đó gank t , game đầu t_k để_ý m có xem stream đấy . Chứ k_cỡ như m lên t cân 2 nha ."
Cuoc Vui Co Don,0,Cuoc_Vui Co_Don
"Hẳn là thi công k chuẩn =)) cười vỡ cmn bụng, cái đcm chúng mày lắm nữa nhiều lí do vcl.",2,"Hẳn là thi_công k chuẩn =)) cười vỡ_cmn bụng , cái đcm chúng_mày lắm nữa nhiều lí_do vcl ."
liêm sĩ ji tầm này abe ôi,0,liêm_sĩ ji tầm này abe ôi
Nó đéo biết ngại à,1,Nó đéo biết ngại à
chs thì ngu nhờ ng gánh là giỏi,1,chs thì ngu nhờ ng_gánh là giỏi
Địt cụ mày,2,Địt cụ mày
k thấy ngon nha . 18 cành,0,k thấy ngon_nha . 18 cành
ông này kém vô cùng,1,ông này kém vô_cùng
Chị ba .bản lĩnh con cháu hai bà trưng bà triệu👍🙏❤🌍,0,Chị ba . bản_lĩnh con_cháu hai bà trưng bà triệu 👍 🙏_❤ 🌍
Trần Nhật Tuấn =))) Bú win lên này a,0,Trần_Nhật_Tuấn =))_Bú win lên này a
"ông mực tự cái mồm làm khổ cái thân mà :)))) đã feed còn chửi đồng đội, chứ ai tự nhiên đii nói ổng đâu, xong game thì thôi lại còn mời vào chửi tiếp, nói chung họa tự chuốc lấy thôi",0,"ông mực tự cái mồm làm khổ cái thân mà :)) đã feed còn chửi đồng_đội , chứ ai tự_nhiên đii nói ổng đâu , xong game thì thôi lại còn mời vào chửi tiếp , nói_chung họa tự chuốc lấy thôi"
Tuân Nguyễn no lai cay vl ra,1,Tuân Nguyễn_no lai_cay vl ra
Đần vcl,1,Đần vcl
Theo ý kiến cá nhân riêng mình thấy bài hát này ko có chút ý nghĩa nghe có vẻ khá sàm ko hay ý kiến cá nhân nhé a hùng bàn phím né hộ,0,Theo ý_kiến cá_nhân riêng mình thấy bài hát này ko có chút ý_nghĩa nghe có_vẻ khá sàm_ko hay ý_kiến cá_nhân nhé a_hùng bàn_phím né hộ
thì coi như k thấy cmt nta đi. Vào cắn làm choá gì,1,thì coi như k thấy cmt nta đi . Vào cắn làm chóa gì
"Cái lỗ mũi như lỗ trâu mà còn ngột ngạt,hít hết cả khí trời của ngta rồi còn j.",2,"Cái lỗ mũi như lỗ trâu mà_còn ngột_ngạt , hít hết cả khí_trời của ngta rồi còn j ."
Nhỏ này ranh con trong nhóm Dư Luận Viên của nhà nước ấy mà.cứ ai đưa tin Ji thì nó bay vào nói bất chấp đúng hay sai.ăn lương phải vậy bất chấp dân đói khổ.nó đâu đứng về phía công lí.nhóm tụi nó cả vào trăm đứa ăn lương vài triệu là để vậy.làm nhẹ dư luận khi ai đó đụng đến người chi lương nó...,1,Nhỏ này ranh con trong nhóm Dư_Luận_Viên của nhà_nước ấy mà . cứ ai đưa tin Ji thì nó bay vào nói bất_chấp đúng hay sai . ăn lương phải vậy bất_chấp dân đói_khổ . nó đâu đứng về phía công_lí . nhóm tụi nó cả vào trăm đứa ăn lương vài triệu là để vậy . làm nhẹ dư_luận khi ai đó đụng đến người chi lương nó ..
Hoàng Tử Băng Giá đầu nó chứa cứt,1,Hoàng_Tử_Băng Giá đầu nó chứa cứt
Thứ nhiều chuyện,0,Thứ nhiều chuyện
Đụ má mày nha - sử dụng fb ảo tạo nét à,2,Đụ má mày nha - sử_dụng fb ảo tạo nét à
Mực dốt cả đời bk rách thôi,1,Mực dốt cả đời bk rách thôi
Xl thì dc gì trọng tài lol,2,Xl thì dc gì trọng_tài lol
"Thanh niên cao to lực lưỡng có chân có tay mà đi cướp dị , nghiệp quá nghiệp",1,"Thanh_niên cao to_lực_lưỡng có chân có tay mà đi cướp_dị , nghiệp quá_nghiệp"
Con sv cày thuê bị hành cay đỏ dái hả :))),2,Con sv cày thuê bị hành_cay đỏ dái hả :))
"Hieu Nguyen họ bùi ăn hết của ông nội m hả , đụ mẹ m lôi vào nói chung chung ý thức của m cũng như cc",2,"Hieu Nguyen họ bùi_ăn hết của ông nội m hả , đụ mẹ m lôi vào nói_chung_chung ý_thức của m cũng như cc"
toàn âm mạng có gì đâu mà khè,0,toàn âm_mạng có gì đâu mà khè
Nghề kiếm cơm của các thanh niên Nam Kỳ,2,Nghề kiếm cơm của các thanh_niên Nam_Kỳ
T nghe thấy thích mà ae,0,T nghe thấy thích mà ae
Ai muốn thoát kiếp,0,Ai muốn thoát kiếp
Công an đâu rồi lên cơ quan trình báo còn bị chửi ko biết giữ của lên đây làm gì,0,Công_an đâu rồi lên cơ_quan trình_báo còn bị chửi ko biết giữ của lên đây làm gì
Ngọc Liên nc nv nha homie :))),0,Ngọc Liên_nc nv nha homie :))
óc vừa th. Thế m nghĩ ai cũng cố tình vi phạm. R ng dân cũng bị gài bị dìu r bắt lỗi ko đúng đầy ra đấy. Ở đấy mà đạo lí,1,óc vừa th . Thế m nghĩ ai cũng cố_tình vi_phạm . R ng dân cũng bị gài bị dìu_r bắt lỗi ko đúng đầy ra đấy . Ở đấy mà đạo_lí
Troussier vô dụng. Từ chức đi,1,Troussier vô_dụng . Từ_chức đi
Ở mặt đường không đeo vàng và nói chuyện lâu với người hỏi đường. Là mất tài sản,0,Ở mặt_đường không đeo vàng và nói_chuyện lâu với người hỏi đường . Là mất tài_sản
Mấy thằng chó sủa bậy sướng được anh độ cho đi đóng phim =)),2,Mấy thằng chó sủa bậy sướng được anh độ cho đi đóng phim =))
Đấm mẹ mày giờ,1,Đấm mẹ mày giờ
Trọng tài kìa,0,Trọng_tài kìa
Bắt kém cực ấy nói thậy,1,Bắt kém cực ấy nói thậy
Hai thằng giả vờ hỏi chuyện để 1 thằng hành động Bán buôn lời được bao nhiêu,0,Hai thằng giả_vờ hỏi chuyện để 1 thằng hành_động Bán_buôn lời được bao_nhiêu
Luật Sư Hà a ơi giúp cháu nó đk ko. Nghe tội vs bức xúc quá,0,Luật_Sư Hà_a ơi giúp cháu nó đk_ko . Nghe_tội vs bức_xúc quá
Năm Lê Nguyễn Thu Hằng dm vcl bar con đeo khéo chưa đc 1p giật tung l :)),1,Năm Lê_Nguyễn_Thu_Hằng dm vcl bar con đeo khéo chưa đc 1 p giật tung l :))
Vc thằng này cũng có fan à =))),1,Vc thằng này cũng có fan à =))
"Đúng rồi, toàn bọn rẻ rách, cặn bã, ăn cơm ăn cức của Việt Nam mà mở mồm ra là chửi sằn bậy !!!",2,"Đúng rồi , toàn bọn rẻ_rách , cặn_bã , ăn cơm ăn_cức của Việt_Nam mà mở mồm ra là chửi sằn bậy ! !"
Gặp tôi là đồng đội tôi chửi cả lò nhà ông r =))),0,Gặp tôi là đồng_đội tôi chửi cả lò nhà ông r =))
vẫn bảo của t đc mà :)) ngu ác,1,vẫn bảo của t đc mà :))_ngu ác
Mày câu hay đấy nhóc,1,Mày câu hay đấy nhóc
Xh loạn hết rồi. CQ hãy cho dân quyền tiêu diệt lũ cặn bã này.,2,Xh_loạn hết rồi . CQ hãy cho dân_quyền tiêu_diệt lũ cặn_bã này .
Toàn là những con người thiếu ý thức mà ra cầu mong dừng lại ở con số này thôi chứ lo lắng quá đi cầu cho máy cha máy mẹ đừng đi tùm lum nữa làm khổ nhiều người lắm muốn chết về nhà đóng cửa chết mình mẹ đi,2,Toàn là những con_người thiếu ý_thức mà ra cầu_mong dừng lại ở con_số này thôi chứ lo_lắng quá đi cầu cho máy cha máy mẹ đừng đi tùm_lum nữa làm khổ nhiều người lắm muốn chết về nhà đóng_cửa chết mình mẹ đi
đập ngu như thầy thì mãi mãi cx dell lên đc +7 e thề,1,đập ngu như thầy thì mãi_mãi cx dell lên đc + 7 e thề
Mong pháp luật trừng trị thật nghiêm kẻ coi thường mạng người coi thường pháp luật. Mong cháu yên nghỉ. Thương,1,Mong pháp_luật trừng_trị thật nghiêm_kẻ coi_thường mạng người coi_thường pháp_luật . Mong cháu yên_nghỉ . Thương
"Face you, ngày mai mày bị tai nạn chết cả nhà mày, còn mày thì bị mù mẹ nó mắt đi cho khỏi tốn cơm",2,"Face you , ngày_mai mày bị tai_nạn chết cả nhà mày , còn mày thì bị mù mẹ nó mắt đi cho khỏi tốn cơm"
T k thích k ưa mẹ này.... Mà dx cái chưit ngta nghe hài vcl bù lại củng đỡ 😂😂,1,T k thích k ưa mẹ này .. Mà dx cái chưit ngta nghe hài_vcl bù lại củng_đỡ 😂 😂
Nhục cái lồn gì k biết?:)). Mệt người sủa ngu. Cút,2,Nhục cái lồn gì k biết ?_:)) . Mệt người sủa_ngu . Cút
Dễ thương gì đâu,0,Dễ_thương gì đâu
Phương Nam ừ cô mà tích lại mà bán,0,Phương Nam_ừ cô mà tích lại mà bán
Happy New Year coach !,0,Happy New_Year coach !
Thằng ngu này t gặp mấy lần t thường cầm sett nó nó bú cu. Giờ t lục bảo 1 heo elo nó vẩn bk. Ngu đéo tả đc mà hay nổ haizz. Mầy leo ranh bằng nhân phẩm chứ kỷ năng đéo. Khéo sài hết nhân phẩm xe đụng mầy.,2,Thằng ngu này t gặp mấy lần t thường cầm sett nó nó bú cu . Giờ t_lục bảo 1 heo elo nó vẩn_bk . Ngu đéo_tả đc mà hay nổ haizz . Mầy leo_ranh bằng nhân_phẩm chứ kỷ_năng đéo . Khéo_sài hết nhân_phẩm xe đụng mầy .
Bắt như loz thì cút về nha bú sữa chú đêy a tài ơi,1,Bắt như loz thì cút về nha bú sữa chú đêy a_tài ơi
Lỗi cái địt con mệ mày,2,Lỗi cái địt con mệ mày
phải kiện bồi thường chứ không nhẹ nhàng như v được,0,phải kiện bồi_thường chứ không nhẹ_nhàng như v được
Đóng thuế thuê 1 thằng phế vật.,1,Đóng thuế thuê 1 thằng phế_vật .
ma vương tới chơi broooo,0,ma vương tới chơi broo
Linh Nguyen trend này hình như có lâu lắm r nhỉ =)))),0,Linh Nguyen_trend này hình_như có lâu lắm r nhỉ =))
Bài mai dù,0,Bài mai dù
clm hẳn là trai alimi :)) bố m hài ỉa vào bàn thờ nhà m luôn th mực con,2,clm hẳn là trai alimi :)) bố m hài_ỉa vào bàn_thờ nhà m luôn th_mực con
Công an đã vào cuộc,0,Công_an đã vào_cuộc
bọn ăn cháo đá bát,2,bọn ăn cháo đá bát
Muốn làm hot face không khó :))),0,Muốn làm hot face không khó :))
Lỗi cái đjt con bà m thằng trọng tài m nghỉ vc mẹ đi,2,Lỗi cái đjt con bà m thằng trọng tài m nghỉ vc mẹ đi
Con gia nay sao ra duong duong xe no tong chet me duoi gam xe,2,Con gia_nay sao ra duong duong xe no_tong chet me duoi gam xe
Ban vinh viễn cmn đi,1,Ban vinh_viễn cmn đi
Thế mày là con tinh trùng khuyết tật của tao à nói câu nào là ngu câu đó thôi anh không chấp lo mà giúp ba mẹ mày có bữa ăn ngon đi trl ngu dốt vc,2,Thế_mày là con tinh_trùng khuyết_tật của tao à nói câu nào là ngu câu đó thôi anh không chấp_lo mà giúp ba_mẹ mày có bữa ăn ngon đi trl ngu dốt vc
Khéo nhung lại bị người khác lây sang 😂,0,Khéo nhung lại bị người khác lây sang 😂
2022 idol về VN rồi^^,0,2022 idol về VN rồi ^ ^
Ủa tưởng ý thức người nhật cao lắm ?,0,Ủa tưởng ý_thức người nhật cao lắm ?
mấy con súc vật,2,mấy con súc_vật
Họp báo m bảo hài lòng nhưng những người hâm mộ đội tuyển Việt Nam hài lòng vs m chưa? :((,0,Họp báo m bảo hài_lòng nhưng những người hâm_mộ đội_tuyển Việt_Nam hài_lòng vs m chưa ? : ( (
"Thằng áp dê ngon thì nói cho thiên hạ biết đi, hay đi làm Thông ngôn cmn đi",1,"Thằng áp dê ngon thì nói cho thiên_hạ biết đi , hay đi làm Thông_ngôn cmn đi"
"trang cty của Jack dĩ nhiên fan Ng ta vô xem nhiều rồi, thấy fan Ng ta đông quá, vẫn ủng hộ J bạn tức hay sao. Mà thường tức hay nói ngang lắm, hoặc tỏ ra mình hiểu biết thanh cao. Con người thiếu cái gì thì hay tỏ ra mình như thế.",0,"trang cty của Jack_dĩ_nhiên fan Ng ta vô xem nhiều rồi , thấy fan Ng ta đông quá , vẫn ủng_hộ J bạn tức hay sao . Mà thường_tức hay nói ngang lắm , hoặc tỏ ra mình hiểu_biết thanh cao . Con_người thiếu cái gì thì hay tỏ ra mình như_thế ."
Quá tệ hại. Ông nên xem xét lại trình độ của mình,1,Quá tệ_hại . Ông nên xem_xét lại trình_độ của mình
Cho mìh hỏi là sách j đây vậy 😦😦😦,0,Cho mìh hỏi là sách j đây vậy 😦 😦
A mực kỹ lăng :))))),0,A_mực kỹ lăng_:))
Đem đưa lên cơ sơ xo thẩm quyền THP bốc phân mà ăn :),1,Đem đưa lên cơ_sơ_xo thẩm_quyền THP bốc phân mà ăn :)
Chả hiểu đẹp ở đâu,0,Chả hiểu đẹp ở đâu
Ý thức như L..,1,Ý_thức như L. .
đm thêm con ruồi mẹ n nữa,1,đm thêm con ruồi mẹ n nữa
Trọng tài này bị mù mắt rồi,1,Trọng_tài này bị mù mắt rồi
"Tội anh tôi, lương tháng 7 - 8 triệu, đến tôm nhỏ chẳng có mà ăn, chỉ ăn được mỗi cua hoàng đế và tôm Alaska😢😢😢",0,"Tội anh tôi , lương tháng 7 - 8 triệu , đến tôm nhỏ chẳng có mà ăn , chỉ ăn được mỗi cua_hoàng_đế và tôm Alaska_😢 😢"
Bị ngáo cứt lợn 🐷,2,Bị ngáo_cứt lợn 🐷
Ngọc Trang mua dưa leo chơi cho rẻ,0,Ngọc_Trang mua dưa leo chơi cho rẻ
khác gì bọn mọi đen ko? Bị sỉ nhục đéo dám làm gì,2,khác gì bọn mọi đen ko ? Bị sỉ nhục_đéo dám làm gì
"Tụi mày tuổi lồn, nói thế cho nó vuông",2,"Tụi mày tuổi lồn , nói thế cho nó vuông"
Đcu bắt ngáo lòn,1,Đcu bắt ngáo lòn
Con cặc,1,Con cặc
Nên xem trận indo đá thailand đi.để biết cách dạy học trò presing và chống presing,0,Nên xem trận indo đá thailand đi . để biết cách dạy_học_trò presing và chống presing
"Quay dính biển số xe 2 t kia rồi đó, có đăng xuất luôn mới thoát, mai lại lên trang đầu cho coi.",0,"Quay dính biển số xe 2 t kia rồi đó , có đăng_xuất luôn mới thoát , mai lại lên trang_đầu cho coi ."
Tính ra tư duy ct như m ko bằng 1 champ đct nha :)) đánh rank bk đc game dương mạng,1,Tính ra tư_duy ct như m ko bằng 1 champ đct_nha :)) đánh rank bk đc game dương_mạng
đánh trụ là win mẹ r,0,đánh trụ là win mẹ r
Djtme may,2,Djtme may
Xin lỗi cc. Địt mẹ mày,2,Xin_lỗi cc . Địt mẹ mày
đã tăng 2 đến 7 thì dân lợi cái lồn mẹ chúng nó à,1,đã tăng 2 đến 7 thì dân_lợi cái lồn mẹ chúng_nó à
Do thiếu lozz ngọc trinh nên hôm qua tiệp hơi nông nỗi,1,Do thiếu lozz ngọc_trinh nên hôm_qua tiệp_hơi nông_nỗi
Bộ trưởng quốc phòng hèn nhất LS VN,1,Bộ_trưởng quốc_phòng hèn nhất LS VN
Fuck you mày thèn cho đẽ thái lan mua mày bao nhiu vậy,2,Fuck you mày thèn cho đẽ_thái_lan mua mày bao nhiu vậy
Trần Dần nói tro sướng cái lỗ mồm .hắn này về VN .thì phải tro ngay vào thường tín hà tây,1,Trần_Dần nói tro sướng cái lỗ mồm . hắn này về VN . thì phải tro ngay vào thường tín_hà_tây
chán cái địt cụ mày,2,chán cái địt cụ mày
Lũ ngu vô học... viết tiêu đề còn sai chính tả.,2,Lũ ngu vô_học .. viết tiêu_đề còn sai chính_tả .
Xem phố bolsa chỉ vì nhà tiên tri zũ trụ trần dần,0,Xem phố bolsa chỉ vì nhà tiên_tri zũ trụ trần dần
Thằng khốn nạn,2,Thằng khốn_nạn
Thời đại này sao có loại ác hơn giặc,2,Thời_đại này sao có loại ác hơn giặc
Mày nghỉ luôn cũng được. Phát ngôn tào lao fan nó unfollow hết bây giờ,1,Mày nghỉ luôn cũng được . Phát_ngôn tào_lao fan nó unfollow hết bây_giờ
"Duy Phạm ngu bớt lên tiếng lại, sẽ có 1 ngày nào đó cha mẹ,con cái mày bị tai nạn giao thông, lúc đó sẽ hiểu nổi đau, còn mày nên học nội quy giữ xe đi, người ta giữ xe, Đảm bảo xe không bị mất, chứ đâu đảm bảo hư hại,bản thân tao cũng vi phạm, vào thấ… Xem thêm",1,"Duy_Phạm_ngu bớt lên_tiếng lại , sẽ có 1 ngày nào đó cha_mẹ , con_cái mày bị tai_nạn giao_thông , lúc đó sẽ hiểu nổi đau , còn mày nên học nội_quy_giữ xe đi , người ta giữ xe , Đảm_bảo xe không bị mất , chứ đâu đảm_bảo hư_hại , bản_thân tao cũng vi_phạm , vào thấ … Xem thêm"
chia buồn cùng gia đình kid cận huyết sua chill lofi đưa bà già kid về nơi 9 suối,1,chia buồn cùng gia_đình kid cận_huyết sua chill lofi đưa bà_già kid về nơi 9 suối
idol m chừng nào lớn vậy Nguyễn Đức Long Minh Hùng,0,idol m chừng nào lớn vậy Nguyễn_Đức_Long_Minh Hùng
Đơn giảng vì luật pháp việt nam quá nhẹ tay và ko đủ tính răng đe. Nên tình trạng này cứ tiếp diễn hoài,0,Đơn_giảng vì luật_pháp việt_nam quá nhẹ_tay và ko đủ tính răng_đe . Nên tình_trạng này cứ tiếp_diễn hoài
Ghi k rõ rồi khóc lóc cái cái cái con con à,1,Ghi k rõ rồi khóc_lóc cái cái cái con_con à
Cái lozZZ,1,Cái lozZZ
đ.ụ m.ẹ mày ad cái link bấm vào coi chục cái QC nhảy ra,2,đ . ụ m . ẹ mày ad cái link bấm vào coi chục cái QC nhảy ra
Bọn giàu mà mang thua người nghèo nửa đm chán quá,1,Bọn giàu mà mang thua người nghèo nửa đm chán quá
Vui...!!!!,0,Vui .. ! !
Nguyễn Võ Hữu Châu cẩn thận mất việc nhé con,0,Nguyễn_Võ_Hữu_Châu cẩn_thận mất việc nhé con
Thầy bói🙃🙃🙃,0,Thầy bói 🙃 🙃
nó đu idol của nó một cách ngu muội mà =))) idol vô học sao fan vô học như vậy,1,nó đu_idol của nó một_cách ngu_muội mà =))_idol vô_học sao fan vô_học như_vậy
Yêu cô quá,0,Yêu cô quá
Mả cụ mày,2,Mả cụ mày
Đây mới 9 xác nha ace,0,Đây mới 9 xác nha ace
dmmmmmm thằng trọng tài,2,dmm thằng trọng_tài
Ông Philippe Troussier ơi !,0,Ông Philippe Troussier ơi !
m vs thg dog này giống nhau phết ngu + to mồm + thượng đẳng,2,m vs thg dog này giống nhau phết_ngu + to_mồm + thượng_đẳng
Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,0,Vẫn có 1 người tặng quà va len_thai cho mình mn ạ .
trundlo ko co linh ma cap dc 2 cai tru luon,0,trundlo ko co_linh ma cap dc 2 cai_tru luon
Xin cái địt thằng cha mả tổ cụ kị con mẹ mày,2,Xin cái địt thằng_cha mả tổ cụ kị con mẹ mày
Địt cụ chúng nó muốn người dân chở về thời đồ đá mất rồi? Như thế này đỡ phải sử dụng phương tiện? Địt mẹ thằng nào nghĩ ra cái luật lồn này,2,Địt cụ chúng_nó muốn người_dân chở về thời_đồ đá mất rồi ?_Như thế_này đỡ phải sử_dụng phương_tiện ?_Địt mẹ thằng nào nghĩ ra cái luật lồn này
Đit mẹ thua cái thể loại này,2,Đit mẹ thua cái thể_loại này
Lam sao ma co the tha loi duoc cho nhung  nguoi an noi vo hoc thuc nhu the nay. Bo tay.,1,Lam_sao ma_co the tha_loi duoc cho nhung nguoi an_noi vo hoc thuc nhu_the nay . Bo_tay .
kéo fame,0,kéo fame
Đitme ngần ấy tuổi r mà k biết đóng cái khóa quần vào thằng đĩ vượn này,2,Đitme_ngần ấy tuổi r mà k biết đóng cái khóa quần vào thằng đĩ vượn này
cay hộ ông luôn đọc hết thấy 3 ông kia tự nhiên nhảy vào cắn tùm lum,0,cay hộ ông luôn đọc hết thấy 3 ông kia tự_nhiên nhảy vào cắn tùm lum
Thằng này bị cả hội eva bốc phốt mà dm thằng add còn cố đéo chịu hiểu mà đăng lên,2,Thằng này bị cả hội eva bốc_phốt mà dm thằng add còn cố đéo chịu hiểu mà đăng lên
Anh Hong thay cái kiểu như nay thì đừng tiếp chuyện nha. Dat Vu,0,Anh Hong thay cái kiểu như nay thì đừng tiếp_chuyện nha . Dat Vu
Địt mẹ thẻ đỏ coi,2,Địt mẹ thẻ_đỏ coi
trán ngắn tóc dài mồm lai trung cuốc.,1,trán ngắn_tóc dài mồm lai_trung_cuốc .
Tụt mẹ m ra cho nhanh đỡ phải mặc,1,Tụt mẹ m ra cho nhanh đỡ phải mặc
tốc chiến đỡ hơn ff,0,tốc chiến_đỡ hơn ff
Giờ phút hạn chế đi du lịch đi trời...,0,Giờ_phút hạn_chế đi du_lịch đi trời ..
So so cái địt bà mày,2,So so cái địt bà mày
"Sory cc, chưa qua đêm nay chính thức bay ac",1,"Sory cc , chưa qua đêm nay chính_thức bay ac"
lộ thêm chục bà mẹ đơn thân nữa :< . Mấy con ruồi phát sáng đang trong thời kì rụng trứng nên tụi nó mún mỗi tháng a cho 5 trịu :^,1,lộ thêm chục bà mẹ đơn_thân nữa : < . Mấy con ruồi phát sáng đang trong thời_kì rụng trứng nên tụi nó mún mỗi tháng a cho 5 trịu : ^
Thế đéo nào???????!?!!?????,1,Thế_đéo nào ? ? ! ? ! ! ? ?
Sau vụ phốt này t mới thấy tụi Fan Jack đốt với IQ thấp thật sự Kiểu ngu ngu kiểu gì ấy. T thấy ngại dùm. Mà cũng đúng. Thằng ai đồ nó dốt địt thế kia thì fan nó cũng thiểu năng ko khác gì.,2,Sau vụ phốt này t mới thấy tụi Fan Jack_đốt với IQ thấp thật_sự Kiểu_ngu ngu kiểu gì ấy . T thấy ngại dùm . Mà cũng đúng . Thằng ai đồ nó dốt địt thế kia thì fan nó cũng thiểu_năng ko khác gì .
nhưng thang ngu thương hay gay là mày đó troussier về pháp đi thang coho ..,2,nhưng thang ngu_thương hay gay là mày đó troussier về pháp đi thang coho ..
Phải làm cho tới cùng nhé,0,Phải làm cho tới cùng nhé
Bắt cặp hỏi chuyện ra đồng bọn,0,Bắt cặp hỏi chuyện ra đồng_bọn
Tụi này ác thật,1,Tụi này ác thật
Vl,1,Vl
Đm. Tao là CA thì tao có quyền nhé. Đm ad phản cmn động,2,Đm . Tao là CA thì tao có quyền nhé . Đm ad phản_cmn động
Đang đá mà onl được à. =)))),0,Đang đá mà onl được à . =))
Vãi cả cái còi ôm vòng theo cái ngực đô con 😂😂,1,Vãi cả cái còi ôm vòng theo cái ngực đô con 😂 😂
fan cứng?? thầy lồn cho tao fan cứng chúng mày ạ .. yêu thầy dấu bé ba = )),1,fan cứng ? ? thầy lồn cho tao fan cứng chúng_mày ạ .. yêu thầy dấu bé ba = ) )
0 bỏ qua pp,0,0 bỏ_qua pp
Chế độ nầy sắp tàn rồi nên hù thiên hạ !,1,Chế_độ nầy sắp tàn rồi nên hù thiên_hạ !
TheDog fuck you,2,TheDog fuck you
Cứ bắt rồi thả về lại đi hành nghề trộm cắp thì việt nam bao giờ mới hết trộm cắp được,0,Cứ bắt rồi thả về lại đi hành_nghề trộm_cắp thì việt_nam bao_giờ mới hết trộm_cắp được
toi dang xem gi vay,0,toi dang xem gi vay
m chắt đồng 3 là ỉa chảy mòm thì hay chê,1,m chắt đồng 3 là ỉa chảy mòm thì hay chê
"má vào đọc thấy đốm an ủi các kiểu t cười đau ruột :)) , kiểu 1 lũ k não v :))",2,"má vào đọc thấy đốm an_ủi các kiểu t cười đau ruột_:)) , kiểu 1 lũ k não v :))"
có cái DB bố mày tin ấy,2,có cái DB_bố mày tin ấy
"Đánh thì ngu còn toxic, dàn dựng ăn chia tiền kèo, r dính thêm cá độ :))))",1,"Đánh thì ngu còn toxic , dàn_dựng ăn_chia tiền kèo , r dính thêm cá_độ :))"
má nó đồ cho để người ta bán xoi mà nó cũng lấy xe người ta Dược nữa mong mấy anh cong an truy bắt tui. nó lấy xe lại trả cho em bán xôi,0,má nó đồ cho để người ta bán xoi mà nó cũng lấy xe người ta Dược nữa mong mấy anh cong an_truy bắt tui . nó lấy xe lại trả cho em bán xôi
Ngọc Thắng.. chở nửa đi. Vê mà cánh ly dần đi,0,Ngọc_Thắng .. chở nửa đi . Vê mà cánh_ly dần đi
Mai Hà vậy mày coi lại bình luận đầu tiên của mày đi . rồi mày biết mày nói ai . tao đã nói rồi vs như mày tao xin lỗi phải dùng từ ngữ như này để nói thôi . chứ người khác hoặc con chó của nhà tao tao cũng rất đàng hoàng đó,0,Mai Hà_vậy mày coi lại bình_luận đầu_tiên của mày đi . rồi mày biết mày nói ai . tao đã nói rồi vs như mày tao xin_lỗi phải dùng từ_ngữ như này để nói thôi . chứ người khác hoặc con chó của nhà tao tao cũng rất đàng_hoàng đó
Cái lol má mày không cho thẻ đỏ,2,Cái lol má mày không cho thẻ_đỏ
"đúng rồi. Fan tkg rách mới mất nhấn thức, còn đ’ nào tự nhận thì cứ vào mà nói :))",1,"đúng rồi . Fan tkg_rách mới mất nhấn_thức , còn đ ’ nào tự nhận thì cứ vào mà nói :))"
Coi mạng người như cỏ rác.,1,Coi mạng người như cỏ rác .
Đàn bà dễ có mấy tay_dinh thự của nữ đội trưởng đội chống buôn lậu,1,Đàn_bà dễ có mấy tay_dinh_thự của nữ đội_trưởng đội chống buôn_lậu
"Lên núi làm hảo hán, cướp của quan tham chia cho dân nghèo. Về đầu thú là tội chết.",1,"Lên núi làm hảo_hán , cướp của quan tham_chia cho dân_nghèo . Về đầu_thú là tội chết ."
bắc được chặc tay,1,bắc được chặc tay
nãy giờ dắk con nó ib chửi t quá trời,1,nãy giờ dắk con nó ib chửi t quá trời
